,S,I,R
2020-10-11,,3461.0,
2020-10-12,,3349.0,
2020-10-13,,3477.0,
2020-10-14,,3600.0,
2020-10-15,,3647.0,
2020-10-16,,3674.0,
2020-10-17,,3699.0,
2020-10-18,,3707.0,
2020-10-19,,3750.0,
2020-10-20,,4169.0,
2020-10-21,,4705.0,
2020-10-22,,5102.0,
2020-10-23,,5546.0,
2020-10-24,,5932.0,
2020-10-25,,6297.0,
2020-10-26,,6746.0,
2020-10-27,,7332.0,
2020-10-28,,8134.0,
2020-10-29,,8650.0,
2020-10-30,,8881.0,
2020-10-31,,9111.0,
2020-11-01,,9216.0,
2020-11-02,,9313.0,
2020-11-03,,9772.0,
2020-11-04,,10113.0,
2020-11-05,,10346.0,
2020-11-06,,10129.0,
2020-11-07,,9880.0,
2020-11-08,,9705.0,
2020-11-09,,9369.0,
2020-11-10,,9447.0,
2020-11-11,,9564.0,
2020-11-12,,9388.0,
2020-11-13,,9188.0,
2020-11-14,,9094.0,
2020-11-15,,9108.0,
2020-11-16,,9143.0,
2020-11-17,,9558.0,
2020-11-18,,10138.0,
2020-11-19,,10425.0,
2020-11-20,,10581.0,
2020-11-21,,10731.0,
2020-11-22,,10673.0,
2020-11-23,,10529.0,
2020-11-24,,10669.0,
2020-11-25,,11002.0,
2020-11-26,,11059.0,
2020-11-27,,10996.0,
2020-11-28,,10968.0,
2020-11-29,,10892.0,
2020-11-30,,10813.0,
2020-12-01,,11359.0,
2020-12-02,,12070.0,
2020-12-03,,12764.0,
2020-12-04,,13350.0,
2020-12-05,,14064.0,
2020-12-06,,14511.0,
2020-12-07,,15177.0,
2020-12-08,,16787.0,
2020-12-09,,18751.0,
2020-12-10,,20402.0,
2020-12-11,,22010.0,
2020-12-12,,23487.0,
2020-12-13,,24694.0,
2020-12-14,,25877.0,
2020-12-15,,28214.0,
2020-12-16,,30589.0,
2020-12-17,,32298.0,
2020-12-18,,32869.0,
2020-12-19,,32930.0,
2020-12-20,,32441.0,
2020-12-21,,31631.0,
2020-12-22,,31755.0,
2020-12-23,,31612.0,
2020-12-24,,30831.0,
2020-12-25,,28043.0,
2020-12-26,,25257.0,
2020-12-27,,24362.0,
2020-12-28,,23418.0,
2020-12-29,,23775.0,
2020-12-30,,23857.0,
2020-12-31,,23519.0,
2021-01-01,,21759.0,
2021-01-02,,19730.0,
2021-01-03,,20269.0,
2021-01-04,,20313.0,
2021-01-05,,20031.0,
2021-01-06,,19680.0,
2021-01-07,,18181.0,
2021-01-08,,17170.0,
2021-01-09,,15713.0,
2021-01-10,,15616.0,
2021-01-11,,15385.0,
2021-01-12,,14654.0,
2021-01-13,,14189.0,
2021-01-14,,12788.0,
2021-01-15,,11842.0,
2021-01-16,,11018.0,
2021-01-17,,10135.0,
2021-01-18,,9365.0,
2021-01-19,,9100.0,
2021-01-20,,9012.0,
2021-01-21,,8426.0,
2021-01-22,,8033.0,
2021-01-23,,7627.0,
2021-01-24,,7208.0,
2021-01-25,,6868.0,
2021-01-26,,6861.0,
2021-01-27,,6865.0,
2021-01-28,,6455.0,
2021-01-29,,6041.0,
2021-01-30,,5659.0,
2021-01-31,,5146.0,
2021-02-01,,4812.0,
