"dato","kommunenavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-06-10,Kerteminde,M,5435,2822,5345,2805,90,17
2021-06-10,Nyborg,K,7924,5011,7851,4989,73,22
2021-06-10,Nyborg,M,6788,3574,6709,3551,79,23
2021-06-10,Odense,K,44029,28010,43318,27851,711,159
2021-06-10,Odense,M,36001,19094,35073,18867,928,227
2021-06-10,Svendborg,K,15294,9683,15148,9417,146,266
2021-06-10,Svendborg,M,13066,6941,12880,6636,186,305
2021-06-10,Nordfyn,K,7332,4482,7096,4449,236,33
2021-06-10,Nordfyn,M,6690,3380,6378,3333,312,47
2021-06-10,Langeland,K,3608,2306,3583,2268,25,38
2021-06-10,Langeland,M,3216,1747,3192,1702,24,45
2021-06-10,Ærø,K,1749,1252,1749,1252,0,0
2021-06-10,Ærø,M,1460,941,1460,938,0,3
2021-06-10,Haderslev,K,12282,7457,12061,7435,221,22
2021-06-10,Haderslev,M,10728,5458,10458,5436,270,22
2021-06-10,Billund,K,5790,3537,5668,3468,122,69
2021-06-10,Billund,M,5188,2727,5074,2645,114,82
2021-06-10,Sønderborg,K,18764,10545,18486,10537,278,8
2021-06-10,Sønderborg,M,16563,7683,16218,7675,345,8
2021-06-10,Tønder,K,8815,5029,8474,5025,341,4
2021-06-10,Tønder,M,7852,3760,7500,3749,352,11
2021-06-10,Esbjerg,K,29308,17002,28961,16713,347,289
2021-06-10,Esbjerg,M,25880,12294,25487,11975,393,319
2021-06-10,Fanø,K,1123,675,1114,662,9,13
2021-06-10,Fanø,M,985,549,971,530,14,19
2021-06-10,Varde,K,12834,7332,12499,7223,335,109
2021-06-10,Varde,M,11800,5562,11452,5432,348,130
2021-06-10,Vejen,K,9086,5804,8971,5743,115,61
2021-06-10,Vejen,M,7955,4187,7792,4126,163,61
2021-06-10,Aabenraa,K,14107,7667,13916,7662,191,5
2021-06-10,Aabenraa,M,12726,5824,12495,5816,231,8
2021-06-10,Fredericia,K,11678,7439,11610,7334,68,105
2021-06-10,Fredericia,M,10060,5424,9960,5311,100,113
2021-06-10,Horsens,K,20176,12311,19524,12168,652,143
2021-06-10,Horsens,M,16964,8354,16289,8195,675,159
2021-06-10,Kolding,K,18843,11894,18619,11767,224,127
2021-06-10,Kolding,M,16295,8778,16044,8611,251,167
2021-06-10,Vejle,K,25234,15683,24626,15453,608,230
2021-06-10,Vejle,M,21815,11326,21121,11056,694,270
2021-06-10,Herning,K,20575,12741,20022,12534,553,207
2021-06-10,Herning,M,17948,8949,17344,8754,604,195
2021-06-10,Holstebro,K,14164,8767,13786,8664,378,103
2021-06-10,Holstebro,M,11995,5957,11563,5872,432,85
2021-06-10,Lemvig,K,5405,3262,5280,3108,125,154
2021-06-10,Lemvig,M,5109,2557,4949,2407,160,150
2021-06-10,Struer,K,5636,3461,5370,3415,266,46
2021-06-10,Struer,M,5052,2589,4756,2558,296,31
2021-06-10,Syddjurs,K,11189,6669,10906,6607,283,62
2021-06-10,Syddjurs,M,10358,5213,10003,5139,355,74
2021-06-10,Norddjurs,K,9679,5985,9438,5905,241,80
2021-06-10,Norddjurs,M,8632,4477,8373,4387,259,90
2021-06-10,Favrskov,K,11192,6690,10836,6637,356,53
2021-06-10,Favrskov,M,9838,4606,9400,4551,438,55
2021-06-10,Odder,K,5982,3638,5775,3595,207,43
2021-06-10,Odder,M,5220,2552,5022,2500,198,52
2021-06-10,Randers,K,22700,14299,22098,14234,602,65
2021-06-10,Randers,M,19282,9535,18505,9480,777,55
2021-06-10,Silkeborg,K,22281,13444,21764,13230,517,214
2021-06-10,Silkeborg,M,19404,9715,18819,9485,585,230
2021-06-10,Samsø,K,1218,826,1174,698,44,128
2021-06-10,Samsø,M,1106,633,1045,538,61,95
2021-06-10,Skanderborg,K,14488,8399,13985,8273,503,126
2021-06-10,Skanderborg,M,12786,5903,12207,5772,579,131
2021-06-10,Århus,K,70063,41154,68403,40795,1660,359
2021-06-10,Århus,M,57633,27734,55852,27292,1781,442
2021-06-10,Ikast-Brande,K,9487,5742,9163,5705,324,37
2021-06-10,Ikast-Brande,M,8571,4357,8230,4312,341,45
2021-06-10,Ringkøbing-Skjern,K,14334,8244,13783,8197,551,47
2021-06-10,Ringkøbing-Skjern,M,12959,6124,12419,6075,540,49
2021-06-10,Hedensted,K,10927,6675,10644,6587,283,88
2021-06-10,Hedensted,M,9866,4750,9546,4667,320,83
2021-06-10,Morsø,K,5177,3347,5054,3326,123,21
2021-06-10,Morsø,M,4573,2419,4413,2404,160,15
2021-06-10,Skive,K,11693,7399,11435,7260,258,139
2021-06-10,Skive,M,10558,5622,10270,5506,288,116
2021-06-10,Thisted,K,10587,6688,10286,6677,301,11
2021-06-10,Thisted,M,9225,4811,8877,4793,348,18
2021-06-10,Viborg,K,23008,14834,22453,14587,555,247
2021-06-10,Viborg,M,20004,10610,19408,10396,596,214
2021-06-10,Brønderslev,K,8080,5401,8009,5265,71,136
2021-06-10,Brønderslev,M,6960,3695,6866,3504,94,191
2021-06-10,Frederikshavn,K,15251,10118,15166,9728,85,390
2021-06-10,Frederikshavn,M,13330,7546,13235,7104,95,442
2021-06-10,Vesthimmerland,K,8843,5839,8586,5796,257,43
2021-06-10,Vesthimmerland,M,7767,4311,7479,4260,288,51
2021-06-10,Læsø,K,708,444,707,444,1,0
2021-06-10,Læsø,M,702,390,701,390,1,0
2021-06-10,Rebild,K,6471,4264,6311,4128,160,136
2021-06-10,Rebild,M,5668,3027,5467,2875,201,152
2021-06-10,Mariagerfjord,K,9924,6373,9587,6327,337,46
2021-06-10,Mariagerfjord,M,8995,4974,8623,4894,372,80
2021-06-10,Jammerbugt,K,8789,5652,8669,5489,120,163
2021-06-10,Jammerbugt,M,7639,4117,7480,3964,159,153
2021-06-10,Aalborg,K,44870,28566,44771,28139,99,427
2021-06-10,Aalborg,M,37003,19431,36789,18949,214,482
2021-06-10,Hjørring,K,15550,10404,15308,10218,242,186
2021-06-10,Hjørring,M,12899,7183,12596,6941,303,242
