"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,249011,149000,42.2,25.2,590259
Midtjylland,567482,314777,42.5,23.6,1334865
Syddanmark,536948,302606,43.8,24.7,1224626
Hovedstaden,785730,455892,42.3,24.5,1857083
Sjælland,411747,217280,49.0,25.8,840898
